country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","21-02-2026 10:00:00",22.7289,75.8076,SO2,2,4,2
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","21-02-2026 10:00:00",22.7289,75.8076,CO,2,14,9
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","21-02-2026 10:00:00",22.4310,75.5213,PM10,88,111,101
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","21-02-2026 10:00:00",22.4310,75.5213,NH3,1,14,8
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","21-02-2026 10:00:00",22.4310,75.5213,CO,16,72,31
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","21-02-2026 10:00:00",22.4310,75.5213,OZONE,3,69,16
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","21-02-2026 10:00:00",22.7524,75.8872,NO2,8,23,12
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","21-02-2026 10:00:00",22.6780,75.8559,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","21-02-2026 10:00:00",22.6780,75.8559,OZONE,5,9,6
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","21-02-2026 10:00:00",22.7084,75.8815,NO2,16,27,21
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","21-02-2026 10:00:00",8.8787,76.6073,OZONE,31,39,32
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","21-02-2026 10:00:00",8.563700,76.886500,SO2,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","21-02-2026 10:00:00",8.563700,76.886500,OZONE,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","21-02-2026 10:00:00",8.5149093,76.9435879,SO2,8,21,16
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","21-02-2026 10:00:00",8.5149093,76.9435879,OZONE,21,298,116
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","21-02-2026 10:00:00",10.532400,76.215900,SO2,1,1,1
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","21-02-2026 10:00:00",23.264759,77.381568,PM2.5,107,263,163
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","21-02-2026 10:00:00",23.264759,77.381568,PM10,100,158,115
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","21-02-2026 10:00:00",23.264759,77.381568,CO,22,60,30
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","21-02-2026 10:00:00",12.415911,75.735050,CO,10,20,14
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","21-02-2026 10:00:00",12.21041,76.37376,OZONE,18,101,30
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","21-02-2026 10:00:00",12.733409,77.298051,PM10,22,98,63
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","21-02-2026 10:00:00",12.733409,77.298051,NH3,2,3,3
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","21-02-2026 10:00:00",12.733409,77.298051,OZONE,19,44,26
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","21-02-2026 10:00:00",13.940000,75.555917,PM10,46,70,59
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","21-02-2026 10:00:00",13.940000,75.555917,NH3,3,4,4
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","21-02-2026 10:00:00",13.377516,77.099072,SO2,26,27,26
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","21-02-2026 10:00:00",12.920984,77.584908,PM10,39,90,67
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","21-02-2026 10:00:00",12.920984,77.584908,NH3,2,2,2
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","21-02-2026 10:00:00",12.920984,77.584908,CO,8,39,18
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","21-02-2026 10:00:00",12.7816279,77.6299145,PM2.5,44,60,52
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","21-02-2026 10:00:00",12.7816279,77.6299145,CO,42,44,43
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","21-02-2026 10:00:00",13.003872,77.664217,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","21-02-2026 10:00:00",13.003872,77.664217,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","21-02-2026 10:00:00",13.003872,77.664217,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","21-02-2026 10:00:00",13.0270199,77.494094,SO2,NA,NA,NA
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","21-02-2026 10:00:00",16.802639,75.722694,PM2.5,30,31,30
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","21-02-2026 10:00:00",16.7602,77.1428,NH3,1,44,4
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","21-02-2026 10:00:00",16.7602,77.1428,OZONE,18,19,18
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","21-02-2026 10:00:00",10.073232,76.302765,PM2.5,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","21-02-2026 10:00:00",8.8787,76.6073,NH3,1,1,1
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","21-02-2026 10:00:00",8.8787,76.6073,SO2,2,3,3
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","21-02-2026 10:00:00",8.8787,76.6073,CO,14,18,15
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","21-02-2026 10:00:00",22.7084,75.8815,CO,26,34,31
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","21-02-2026 10:00:00",23.142888,79.916147,PM2.5,38,92,61
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","21-02-2026 10:00:00",23.142888,79.916147,PM10,38,80,56
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","21-02-2026 10:00:00",23.142888,79.916147,SO2,1,25,7
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","21-02-2026 10:00:00",23.168606,79.932247,CO,26,102,86
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","21-02-2026 10:00:00",23.168606,79.932247,OZONE,4,83,5
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","21-02-2026 10:00:00",23.218135,79.957770,OZONE,23,45,27
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","21-02-2026 10:00:00",13.428828,77.731418,SO2,8,24,13
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","21-02-2026 10:00:00",15.3714823,75.1160168,PM2.5,41,49,45
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","21-02-2026 10:00:00",15.3714823,75.1160168,PM10,63,69,66
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","21-02-2026 10:00:00",15.3714823,75.1160168,CO,11,50,30
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","21-02-2026 10:00:00",12.415911,75.735050,PM2.5,15,41,25
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","21-02-2026 10:00:00",12.415911,75.735050,PM10,15,42,25
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","21-02-2026 10:00:00",13.0246342,77.5080115,OZONE,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","21-02-2026 10:00:00",12.917348,77.622813,PM10,45,119,89
